id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
230197692,2021-03-09 20:14:58.183080+00:00,,True,23.843082,147.0,0.017099008,0.8596813,0.016844431,0.010188202,0.001505807,0.09468126,True,80575992191835275,720575940628032768,80575992191832809,720575940625482954,[580892 251224 172040],[580844 251072 172000]
230686716,2021-03-09 20:14:58.183080+00:00,,True,410.37268,139.0,0.023715932,0.026159165,0.7921829,0.002291457,0.056116268,0.09953424,True,80153367409882856,720575940622685478,80153367409893186,720575940615679282,[552800 224100 171680],[552864 223968 171680]
230197712,2021-03-09 20:14:58.183080+00:00,,True,430.37207,143.0,0.01462321,0.64593136,0.15298058,0.006578463,0.0055864295,0.17429999,True,80575992191842580,720575940628032768,80575992191837685,720575940625482954,[580760 251448 172080],[580656 251412 172080]
230197653,2021-03-09 20:14:58.183080+00:00,,True,52.042286,76.0,0.91692775,0.002419332,0.07983678,1.1639608e-05,0.00021181924,0.00059273804,True,80646360935983973,720575940610322040,80646360935988945,720575940625482954,[581492 250872 171760],[581620 250920 171720]
230197657,2021-03-09 20:14:58.183080+00:00,,True,86.511826,141.0,0.95511687,0.0016972916,0.043018572,1.8261244e-05,2.6035874e-05,0.0001229948,True,80646360935983973,720575940610322040,80646360935988945,720575940625482954,[581496 250852 171720],[581584 250916 171760]
240828366,2021-03-09 20:14:58.183080+00:00,,True,1043.6941,134.0,0.8871359,0.0034381151,0.10777965,0.0002852001,0.00035265234,0.0010085142,True,80857260943196858,720575940625622968,80857260943184856,720575940622910188,[594176 239104 157480],[594068 239096 157480]
192000685,2021-03-09 20:14:58.183080+00:00,,True,443.60278,145.0,0.0024108079,0.9859185,1.6821853e-07,7.958993e-07,7.5227006e-05,0.0115945125,True,80013729299288916,720575940620718552,80013729299295383,720575940625482954,[546224 289880 140880],[546328 289976 140880]
188771890,2021-03-09 20:14:58.183080+00:00,,True,1008.447,76.0,0.89916176,0.004924606,0.08134705,0.00033631513,0.0093382215,0.004892055,True,80786823479184919,720575940625622968,80786823479192281,720575940628582607,[590572 234052 147120],[590596 234168 147080]
230197823,2021-03-09 20:14:58.183080+00:00,,True,385.17926,143.0,0.13137281,0.016383542,0.8507751,0.00017620147,0.0001960121,0.0010963066,True,80575992191863426,720575940610322040,80575992191852946,720575940625482954,[580168 252332 172920],[580252 252232 172880]
157282635,2021-03-09 20:14:58.183080+00:00,,True,97.425545,146.0,0.0924191,0.03165127,0.82912475,0.0012624244,0.0103116585,0.035230793,True,80646292216324210,720575940625622968,80646292216313703,720575940622910188,[582988 244976 165520],[583000 244856 165520]
230197862,2021-03-09 20:14:58.183080+00:00,,True,163.8884,141.0,0.012369419,0.0006107679,0.9869523,5.36926e-06,5.634916e-06,5.6490324e-05,True,80646360935982624,720575940633575575,80646360935977580,720575940625482954,[583824 251100 171440],[583724 251284 171440]
101517526,2021-03-09 20:14:58.183080+00:00,,True,57.58562,96.0,0.71103907,0.060842004,0.19796911,0.018062633,0.000796039,0.011291127,True,80716454735216230,720575940625622968,80716454735219748,720575940630492714,[585704 234192 152600],[585592 234172 152600]
84534527,2021-03-09 20:14:58.183080+00:00,,True,330.1303,145.0,0.99568164,0.0004930546,0.0034352602,6.162114e-05,4.0014285e-05,0.0002884223,True,80576748039205169,720575940624538599,80576748039206485,720575940625144061,[579608 295116 158960],[579664 295192 159000]
6035102,2021-03-09 20:14:58.183080+00:00,,True,73.68854,136.0,2.3686074e-05,1.0622925e-06,0.9999752,2.3747159e-11,1.3125451e-09,1.9605417e-09,True,80224217190305098,720575940622685478,80224217190322612,720575940617922439,[558496 254536 169160],[558420 254456 169160]
213062642,2021-03-09 20:14:58.183080+00:00,,True,143.3648,0.0,0.043324865,0.46451795,0.33189145,0.004193737,0.060692504,0.09537953,True,80223804672633300,720575940636420976,80223804672625253,720575940612804862,[558988 230952 122640],[558960 231012 122680]
