id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
42763353,2021-03-09 20:14:58.183080+00:00,,True,9.542515,0.0,2.2979442e-05,2.6368268e-06,1.6340578e-06,0.13655946,0.8618192,0.0015941443,True,79380067071159086,720575940591635338,79380067071157542,720575940628800207,[511172 270316 154040],[511016 270292 154040]
44433539,2021-03-09 20:14:58.183080+00:00,,True,19.21509,99.0,0.0060304287,0.9766766,0.0009765,0.0060268696,0.0017621176,0.008527518,True,79450229656901213,720575940615378700,79450229656898454,720575940628800207,[511912 258180 154120],[511792 258252 154080]
84146649,2021-03-09 20:14:58.183080+00:00,,True,41.66109,0.0,0.43005013,0.3167811,0.13523008,0.00064538134,0.02574023,0.09155314,True,80082929879384100,720575940614935859,80082929879396122,720575940625963432,[548776 221516 159480],[548672 221428 159560]
44342955,2021-03-09 20:14:58.183080+00:00,,True,90.02417,0.0,0.011140089,0.005366968,0.00014260957,0.29121682,0.6726289,0.019504588,True,79380067071142216,720575940613501337,79380067071145052,720575940628800207,[509464 272108 153640],[509376 272028 153680]
44353707,2021-03-09 20:14:58.183080+00:00,,True,38.714645,0.0,0.06789732,0.21209581,0.61768985,0.03154065,0.029802987,0.040973388,True,79380135790622844,720575940630894299,79380135790630353,720575940628800207,[508392 273812 153520],[508320 273760 153520]
154212301,2021-03-09 20:14:58.183080+00:00,,True,29.725819,131.0,0.019970058,0.6541564,0.010089832,0.00040151,0.025783848,0.2895984,True,79450092016727904,720575940630439471,79450092016729275,720575940620328828,[513096 250080  95360],[512964 250112  95360]
154212286,2021-03-09 20:14:58.183080+00:00,,True,135.5094,135.0,0.14023086,0.53727186,0.07001307,0.0046531404,0.012859362,0.2349717,True,79450092016717322,720575940630439471,79450092016717299,720575940620328828,[513232 250052  95200],[513084 250076  95160]
47480662,2021-03-09 20:14:58.183080+00:00,,True,189.67743,0.0,0.07346638,0.3811982,0.01584483,0.00015691303,0.5145204,0.014813276,True,79730879999774602,720575940630439471,79730879999767029,720575940632409130,[528172 208164 150520],[528112 208236 150520]
44186200,2021-03-09 20:14:58.183080+00:00,,True,40.73746,24.0,0.15379989,0.046557706,0.76942426,0.021117302,0.0030393407,0.0060614254,True,79027192558117607,720575940608118283,79027192558116383,720575940620328828,[491100 210252 154040],[491056 210304 154040]
45099799,2021-03-09 20:14:58.183080+00:00,,True,23.058907,2.0,0.29481614,0.05575212,0.008576098,0.13074279,0.3245933,0.18551955,True,78745442703355833,720575940630210375,78745442703371046,720575940620328828,[473932 193368 150480],[473864 193276 150480]
45099796,2021-03-09 20:14:58.183080+00:00,,True,28.784853,1.0,0.29851934,0.43296686,0.039526217,0.0017185413,0.034463387,0.19280571,True,78745442703366896,720575940625613555,78745442703364549,720575940620328828,[473824 192164 150520],[473760 192056 150440]
44545149,2021-03-09 20:14:58.183080+00:00,,True,58.01465,0.0,0.0117193125,0.02046707,0.008240078,0.27640823,0.093374275,0.58979106,True,80223736087053689,720575940610394840,80223736087062592,720575940623222712,[558496 225652 154320],[558612 225628 154320]
45973581,2021-03-09 20:14:58.183080+00:00,,True,237.58505,0.0,0.026494652,0.11759779,0.015227373,0.044508375,0.7084313,0.08774047,True,78745511422844465,720575940615310604,78745511422832215,720575940653053601,[474560 196080 149560],[474440 196120 149560]
